"";"name_roman";"type_roman";"name_ei";"type_ei";"betRom";"betEI";"diff"
"242";"Kassab";"site";"node_61";"node";0,0856654432098145;0,123353950518755;0,0376885073089405
"243";"el Hammam";"node";"node_62";"node";0,041289154809191;0,121458499600958;0,0801693447917667
"244";"Abila Lysaniou";"city";"node_63";"node";0,0247976268289004;0,0213487629688747;-0,0034488638600257
"245";"el-Zuq el-Foqani";"settlement";"node_66";"node";0,0444165116395998;0,328661213088587;0,284244701448988
"246";"Sde Eliezer";"node";"node_68";"node";0,0351148876263261;0,330157621707901;0,295042734081575
"247";"Tel Mashav";"settlement";"node_69";"node";0,0384232490321283;0,456404628890662;0,417981379858534
"248";"Ekdippa";"settlement";"node_70";"node";0,247563980089497;0,263218276137271;0,0156542960477739
"249";"Mashkanah";"settlement";"node_72";"node";0,0290009553019257;0,320381085395052;0,291380130093126
"250";"Khirbet Ladd";"site";"node_73";"node";0,0769168887324652;0,393455706304868;0,316538817572403
"251";"Bir el Abd";"settlement";"node_74";"node";0,321363567801297;0,434557063048683;0,113193495247386
"252";"Khirbet et-Tira";"settlement";"node_75";"node";0,0976921916637337;0,0626496408619314;-0,0350425508018024
"253";"Suf";"site";"node_76";"node";0,0141284126904319;0,0253391859537111;0,0112107732632792
"254";"Yadudeh";"settlement";"node_78";"node";0,293609532907637;0,309307661612131;0,0156981287044936
"255";"Bethelea";"settlement";"node_83";"node";0,161124239529388;0,0904329608938547;-0,0706912786355333
"256";"Yeruham";"site";"node_86";"node";0,00638543918749057;0,0371608140462889;0,0307753748587983
"257";"Site 477";"site";"node_87";"node";0,024626678063251;0,0253890662410215;0,000762388177770506
"258";"Rujm el-Hamiri";"fort";"node_88";"node";0,220232289205088;0,0779130087789306;-0,142319280426158
"259";"En Boqeq";"fort";"node_89";"node";0,0265775051536025;0,172436153232243;0,14585864807864
"260";"En Thamar";"station";"node_90";"node";0,0290110111116698;0,176177174780527;0,147166163668857
"261";"Praesidium";"fort";"node_91";"node";0,0519080898989391;0,166101356743815;0,114193266844876
"262";"Toloha";"fort";"node_92";"node";0,0240534969078385;0,120909816440543;0,0968563195327042
"263";"Ziza";"settlement";"node_97";"node";0,0349037156217004;0,109487230646449;0,0745835150247481
"264";"el-Hashimiyya";"site";"node_99";"node";0,180210166423651;0,0786113328012769;-0,101598833622374
"265";"Dhat Ras";"settlement";"node_100";"node";0,118537885263211;0,0517757382282522;-0,0667621470349586
